"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5355","failed test","Chrome","Mon May 25 21:00:47 UTC 2026","failed","Mon May 25 21:00:52 UTC 2026","","example.spec.ts","",""
"","620","has title","Chrome","Mon May 25 21:00:46 UTC 2026","passed","Mon May 25 21:00:46 UTC 2026","","example.spec.ts","",""
"","742","get started link","Chrome","Mon May 25 21:00:46 UTC 2026","passed","Mon May 25 21:00:47 UTC 2026","","example.spec.ts","",""
