"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","770","has title","Chrome","Tue May 26 09:53:00 UTC 2026","passed","Tue May 26 09:53:01 UTC 2026","","example.spec.ts","",""
"","851","get started link","Chrome","Tue May 26 09:53:00 UTC 2026","passed","Tue May 26 09:53:01 UTC 2026","","example.spec.ts","",""
"","5363","failed test","Chrome","Tue May 26 09:53:01 UTC 2026","failed","Tue May 26 09:53:06 UTC 2026","","example.spec.ts","",""
