"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5507","failed test","Chrome","Tue May 26 10:15:11 UTC 2026","failed","Tue May 26 10:15:17 UTC 2026","","example.spec.ts","",""
"","912","get started link","Chrome","Tue May 26 10:15:10 UTC 2026","passed","Tue May 26 10:15:11 UTC 2026","","example.spec.ts","",""
"","739","has title","Chrome","Tue May 26 10:15:10 UTC 2026","passed","Tue May 26 10:15:11 UTC 2026","","example.spec.ts","",""
