"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","737","get started link","Chrome","Mon May 25 21:23:46 UTC 2026","passed","Mon May 25 21:23:46 UTC 2026","","example.spec.ts","",""
"","618","has title","Chrome","Mon May 25 21:23:45 UTC 2026","passed","Mon May 25 21:23:46 UTC 2026","","example.spec.ts","",""
"","5360","failed test","Chrome","Mon May 25 21:23:46 UTC 2026","failed","Mon May 25 21:23:52 UTC 2026","","example.spec.ts","",""
