"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","992","get started link","Chrome","Tue May 26 10:03:57 UTC 2026","passed","Tue May 26 10:03:58 UTC 2026","","example.spec.ts","",""
"","766","has title","Chrome","Tue May 26 10:03:57 UTC 2026","passed","Tue May 26 10:03:58 UTC 2026","","example.spec.ts","",""
"","5426","failed test","Chrome","Tue May 26 10:03:58 UTC 2026","failed","Tue May 26 10:04:04 UTC 2026","","example.spec.ts","",""
