"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","789","get started link","Chrome","Tue May 26 10:31:09 UTC 2026","passed","Tue May 26 10:31:10 UTC 2026","","example.spec.ts","",""
"","5376","failed test","Chrome","Tue May 26 10:31:10 UTC 2026","failed","Tue May 26 10:31:16 UTC 2026","","example.spec.ts","",""
"","678","has title","Chrome","Tue May 26 10:31:09 UTC 2026","passed","Tue May 26 10:31:10 UTC 2026","","example.spec.ts","",""
